id,severity,file,description,status,notes
43,Serious,tests/test_engine_agents.py,"Monkeypatch targets obsolete name (_call_ollama); tests not isolating correctly",Open,"Update tests to patch current call path"
44,Structural,src/engine/orchestrator.py,"Numeric extraction may pick numbers from aspect ratios (e.g., 16 in 16:9)",Open,"Tighten numeric regex or token context"
45,Critical,src/app/api.py,"Dead code after return; /report endpoint missing",Open,"Fix misplaced code and implement /report"
46,Critical,src/app/run_pipeline.py,"Connection leak: get_connection() result not closed",Open,"Close connections or use context manager"
47,Critical,src/app/run_pipeline.py,"FAST_REUSE_PARSED blocks lose doc_id when reusing parsed blocks",Open,"Include doc_id in SELECT to preserve indices"
48,Critical,src/app/api.py,"Upload_files writes chunks before size check; partial files left on disk",Open,"Validate Content-Length or delete partial file on error"
49,Serious,src/app/run_pipeline.py,"_update_progress commits on every pair (fsync storm)",Open,"Batch commits every N pairs"
50,Serious,src/app/run_pipeline.py,"Log message references eval_workers before assignment; concurrency/log mismatch",Open,"Ensure logging reflects actual worker count"
51,Serious,src/engine/format_detector.py,"Keyword 'spec' overmatches (e.g., 'Inspection Aspects')",Open,"Improve keyword matching to avoid substrings"
52,Serious,src/engine/format_detector.py,"FormatProfile.from_dict mutates input dict via pop",Open,"Avoid mutating caller's dict"
53,Serious,src/engine/agents.py,"default_model() called at import; evaluator gets stale model_name",Open,"Delay default resolution until health checked"
54,Serious,src/app/run_pipeline.py,"ThreadPoolExecutor shares a single SQLite connection across threads (unsafe)",Open,"Use per-thread connections or serialize DB writes"
